first_name,last_name,age,countries,colors,sonic_characters,points
Bradley,Bird,13,England,Green,Knuckles,839
Jace,French,19,England,Orange,Tails,2560
Neil,Waller,22,Nigeria,Yellow,Tails,801
Aydin,Madden,11,England,Red,Tails,2031
Prince,Reeves,19,Belgium,Orange,Knuckles,236
Khalil,Moyer,14,Jamaica,Blue,Metal Sonic,1918
Neil,Bird,21,Russia,Yellow,Tails,703
Chaim,Reeves,11,Jamaica,Orange,Tails,2770
Brennen,Mcclure,19,Jamaica,Red,Knuckles,2199
Aydin,Mcclure,14,Belgium,Yellow,Tails,1606
Bruno,Waller,24,Russia,Red,Tails,579
Marcelo,Reeves,17,Russia,Orange,Sonic,2551
Brody,Mcclure,21,Belgium,Green,Ray,2481
Marcelo,Bird,12,Russia,Yellow,Sonic,1122
Eliezer,Hudson,21,Russia,Blue,Sonic,1183
Jace,Reeves,12,Russia,Red,Knuckles,1837
Robert,Reeves,19,Russia,Orange,Metal Sonic,767
Jace,Mcclure,12,England,Blue,Tails,2334
Brennen,Reeves,20,Belgium,Blue,Sonic,749
Khalil,Hudson,20,Russia,Orange,Ray,2035
Emmett,Howe,19,Jamaica,Orange,Tails,229
Prince,Howe,14,Belgium,Green,Knuckles,1834
Aydin,Moyer,19,Russia,Green,Knuckles,489
Emmett,French,21,Russia,Yellow,Tails,1770
Prince,Madden,21,Nigeria,Yellow,Tails,2064
Jace,Bird,21,Nigeria,Orange,Tails,742
Aydin,Chen,12,Nigeria,Blue,Ray,2485
Scott,Moyer,19,Russia,Green,Sonic,2901
Jace,Mcclure,14,Nigeria,Orange,Metal Sonic,1567
Bruno,Waller,22,England,Red,Sonic,2243
Bruno,Mcclure,21,Russia,Blue,Tails,2743
Brody,Reeves,23,England,Red,Knuckles,2587
Cesar,Bird,24,Nigeria,Green,Knuckles,1418
Emmett,Reeves,20,Belgium,Red,Ray,160
Marcelo,Waller,11,Jamaica,Yellow,Ray,210
Emmett,Madden,19,England,Blue,Ray,553
Marcelo,Bird,17,Nigeria,Blue,Metal Sonic,1999
Prince,Bird,17,Russia,Green,Metal Sonic,699
Jaydan,Moyer,18,Belgium,Green,Ray,1670
Emmett,Bird,24,Belgium,Red,Ray,1951
Hayden,Madden,11,Belgium,Green,Knuckles,1123
Jaydan,Mcclure,12,Nigeria,Blue,Sonic,1064
Khalil,Madden,20,Jamaica,Yellow,Tails,1408
Khalil,Chen,17,Jamaica,Blue,Tails,369
Brennen,Mcclure,17,Belgium,Green,Metal Sonic,101
Eliezer,Mcclure,23,Belgium,Green,Knuckles,564
Emmett,Chen,12,Jamaica,Blue,Metal Sonic,2526
Jaydan,Chen,13,Jamaica,Red,Ray,1244
Jace,Madden,12,Russia,Blue,Ray,1029
Hayden,Bird,16,Jamaica,Yellow,Ray,2351
Jaydan,Mcclure,13,England,Orange,Metal Sonic,1001
Hayden,Mcclure,21,Belgium,Red,Ray,2092
Hayden,Mcclure,11,Nigeria,Green,Knuckles,2410
Neil,Waller,22,Nigeria,Green,Metal Sonic,1453
Cesar,Chen,13,Nigeria,Green,Knuckles,362
Brennen,Madden,21,Belgium,Blue,Knuckles,495
Quincy,French,15,Nigeria,Yellow,Ray,2900
Marcelo,Moyer,16,Jamaica,Orange,Knuckles,1088
Bradley,Waller,21,Nigeria,Yellow,Knuckles,884
Quincy,Moyer,23,England,Green,Tails,540
Chaim,Moyer,18,England,Green,Sonic,1844
Bradley,Bird,20,Russia,Green,Tails,724
